Crop,Precipitation (mm day),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
Maize,106.97,12.94,55.39,18.29,3.792
Cotton,144.3,15.36,35.29,25.92,1.669
Sugarcane,147.63,17.12,71.26,22.14,59.828
Rice,175.31,17.83,86.92,31.96,2.701
Wheat,59.42,7.69,59.08,10.14,2.834
Cotton,125.94,14.65,61.63,26.21,1.286
Maize,151.89,14.3,59.55,27.57,3.975
Soybean,122.6,13.89,62.58,21.79,3.209
Cotton,162.68,16.98,46.92,30.02,1.096
Sugarcane,217.3,18.28,77.2,25.83,139.55331742676853
Rice,240.26,19.57,65.25,25.57,6.921
Barley,96.99,8.85,37.45,9.77,2.508
Barley,67.06,8.47,34.73,20.61,2.471
Sugarcane,257.19,18.23,62.13,29.8,63.375
Maize,82.43,15.15,57.5,26.1,3.597
Wheat,56.2,9.01,53.29,23.41,1.94
Barley,37.85,9.32,41.11,11.59,1.514
Cotton,143.27,15.26,42.55,26.15,1.266
Barley,47.26,8.05,43.21,19.35,2.276
Rice,154.33,19.87,80.92,24.09,2.323
Rice,168.36,18.03,85.06,26.86,3.965
Cotton,159.1,12.77,45.05,30.92,1.126
Wheat,68.17,11.31,57.39,22.73,2.078
Soybean,160.92,16.88,74.64,26.24,2.172
Wheat,68.32,6.41,54.59,14.0,2.562
Wheat,94.83,7.6,59.76,10.36,2.689
Rice,209.9,21.05,76.78,31.75,4.11
Maize,118.18,13.81,49.91,20.54,3.301
Barley,74.75,9.18,38.56,9.51,1.584
Soybean,128.69,11.25,58.68,21.18,2.844
Barley,98.25,10.88,36.71,8.57,2.123
Maize,81.11,11.24,45.02,18.47,5.16
Wheat,79.35,11.68,47.41,15.33,2.328
Rice,200.67,16.63,84.55,27.73,2.842
Barley,80.08,5.24,50.99,14.27,2.827
Rice,237.94,18.64,68.69,23.94,4.404
Sugarcane,253.44,17.29,64.93,25.81,49.202
Cotton,139.2,16.9,51.66,28.36,1.489
Wheat,50.09,9.74,41.84,16.83,1.582
Soybean,97.53,15.94,55.88,25.83,2.042
Maize,132.25,13.97,45.96,22.42,6.351
Maize,142.22,12.05,56.1,26.11,4.27
Soybean,168.74,13.56,58.34,21.8,3.025
Barley,251.579335691828,9.5,54.12,9.03,1.792
Barley,51.07,9.49,36.55,20.34,2.7
Soybean,121.09,14.28,52.28,27.08,2.912
Rice,213.67,17.0,75.76,21.71,4.744
Rice,273.42,20.91,70.34,26.07,5.34
Wheat,40.37,10.83,54.32,17.68,1.834
Rice,212.52,16.35,67.79,26.19,3.418
Soybean,196.08,12.61,62.37,19.03,1.903
Soybean,126.38,13.52,64.05,18.07,1.717
Cotton,170.5,15.7,58.9,27.78,1.123
Sugarcane,172.74,15.33,72.8,28.59,75.438
Cotton,155.8,15.9,56.06,31.55,1.829
Soybean,98.81,15.1,64.84,27.06,2.115
Soybean,110.68,13.19,71.09,20.34,3.297
Wheat,89.98,6.55,39.98,22.28,2.753
Maize,131.55,10.15,62.25,21.79,3.32
Maize,157.24,12.27,46.55,22.07,3.672
Cotton,155.43,13.21,39.91,23.97,1.843
Rice,273.75,18.98,75.92,28.75,4.789
Soybean,120.5,11.11,60.01,24.6,3.221
Sugarcane,171.19,15.93,75.26,33.27,72.885
Rice,288.21,20.31,88.89,20.22,2.561
Sugarcane,121.04,19.92,67.72,23.56,42.03
Barley,91.64,10.99,45.19,13.67,1.738
Soybean,173.93,16.62,67.3,19.87,1.856
Cotton,130.04,12.47,64.23,33.83,1.592
Rice,214.93,17.23,68.03,27.38,5.594
Sugarcane,235.98,17.64,75.67,29.66,68.057
Maize,122.06,14.16,62.52,27.04,6.226
Barley,51.68,8.56,53.4,17.49,2.011
Maize,153.96,15.54,57.56,21.93,4.731
Sugarcane,262.4,19.25,80.04,33.32,40.162
Cotton,72.95,12.19,54.09,25.77,1.499
Wheat,42.11,11.77,51.7,23.06,1.527
Maize,106.0,10.34,59.58,28.61,3.679
Maize,124.39,12.77,65.72,27.95,5.87
Rice,217.8,19.48,78.34,27.29,4.868
Rice,319.44,20.88,80.38,23.68,3.515
Maize,138.06,12.73,55.31,29.22,3.31
Soybean,102.43,11.4,74.96,18.3,2.568
Sugarcane,223.65,18.75,74.58,32.91,68.236
Soybean,91.9,14.74,61.17,27.34,1.746
Barley,56.78,6.24,39.44,12.43,2.751
Wheat,90.03,6.41,45.44,11.63,2.689
Maize,97.93,13.02,64.91,26.87,5.102
Maize,150.2,12.76,62.74,29.8,2.42
Rice,162.44,19.62,81.71,27.43,3.433
Rice,169.14,20.22,78.52,21.16,2.601
Maize,99.36,14.54,54.84,25.3,4.412
Soybean,96.29,16.86,74.11,19.96,1.89
Barley,63.57,5.4,41.62,19.49,2.699
Rice,180.8,20.09,69.54,26.3,4.694
Maize,87.67,10.14,66.54,24.93,6.344
Soybean,165.63,12.25,64.22,28.41,2.334
Cotton,104.95,15.76,50.09,32.28,1.789
Soybean,160.49,12.62,56.94,29.2,3.068
Barley,60.85,7.02,35.86,14.73,2.786
Maize,94.48,11.31,61.55,25.6,5.325
Rice,308.26,20.14,81.91,22.59,3.825
Cotton,157.21,17.2,62.4,28.14,1.645
Wheat,59.45,7.66,45.8,23.73,1.407
Sugarcane,132.82,19.65,78.88,24.5,54.408
Soybean,178.34,12.96,58.74,25.16,2.044
Maize,136.11,10.14,59.62,29.3,2.893
Cotton,99.3,12.72,61.72,29.12,1.96
Soybean,124.08,14.16,70.22,22.34,2.688
Barley,81.82,10.51,40.2,10.68,2.215
Cotton,163.86,16.9,42.74,24.05,1.589
Soybean,151.22,12.26,52.91,29.64,1.65
Soybean,90.76,13.02,52.24,29.54,2.182
Maize,137.62,15.38,66.15,20.19,5.13
Rice,203.77,16.61,74.01,23.24,5.33
Rice,223.52,17.87,77.65,25.27,3.274
Wheat,60.12,9.94,59.21,18.45,1.881
Wheat,107.95,6.68,45.09,20.33,2.604
Maize,106.17,14.04,56.26,26.99,3.966
Cotton,110.9,16.42,63.03,33.11,1.798
Barley,61.62,9.68,49.28,11.19,3.101
Barley,59.01,8.03,44.01,18.2,2.289
Wheat,97.17,7.09,44.27,22.63,3.114
Maize,113.54,12.51,53.95,25.13,5.222
Sugarcane,168.76,19.74,68.25,33.55,66.812
Rice,152.11,18.81,72.53,27.18,3.213
Rice,217.49,16.52,80.43,21.37,3.44
Barley,81.1,6.2,35.28,17.64,1.928
Sugarcane,235.71,14.66,71.7,22.85,59.11
Soybean,116.01,11.91,57.12,22.51,3.429
Sugarcane,252.23,16.08,76.37,30.51,64.974
Barley,54.81,6.09,32.15,18.0,1.677
Maize,140.36,12.91,64.85,24.92,3.65
Cotton,79.4,17.39,53.19,22.11,0.924
Barley,64.96,9.03,34.05,14.81,3.173
Sugarcane,160.25,18.17,77.47,30.45,64.583
Soybean,104.51,14.76,58.97,29.95,2.53
Rice,217.17,20.28,69.98,30.68,2.993
Wheat,45.29,11.71,42.43,11.29,2.55
Sugarcane,152.25,17.25,60.59,22.96,54.288
Wheat,82.8,10.07,42.94,21.87,3.597
Rice,242.93,18.28,89.42,21.33,3.789
Soybean,124.55,14.01,68.14,19.36,2.423
Soybean,193.85,12.61,70.29,18.66,2.184
Barley,83.24,8.06,40.56,13.57,1.783
Rice,266.72,16.69,74.6,25.47,3.785
Cotton,74.47,12.46,55.89,26.08,1.859
Soybean,137.87,14.12,74.38,29.59,1.979
Wheat,65.72,6.52,48.92,21.83,3.311
Rice,295.92,17.75,87.77,29.05,4.575
Wheat,80.8,7.52,46.26,23.41,2.281
Soybean,149.23,11.93,58.9,26.36,2.799
Sugarcane,112.76,15.14,79.28,32.1,54.753
Wheat,62.98,8.72,54.06,11.76,2.076
Barley,47.29,8.44,35.38,20.06,2.22
Barley,44.58,5.44,50.31,18.53,2.475
Soybean,163.21,16.94,56.95,23.98,2.406
Cotton,111.14,14.71,39.91,31.54,2.072
Maize,135.58,11.89,54.83,20.84,3.195
Barley,79.02,9.22,53.9,15.44,2.071
Sugarcane,187.35,17.25,82.98,32.8,60.214
Cotton,150.55,12.62,62.08,28.06,2.168
Maize,136.15,13.66,57.2,19.6,3.859
Soybean,179.17,15.21,61.48,18.66,2.159
Soybean,190.38,11.57,63.6,26.89,2.444
Soybean,135.15,13.99,51.81,26.21,2.811
Soybean,151.53,11.64,50.42,28.91,1.976
Rice,304.57,19.23,77.45,21.27,3.452
Barley,67.36,10.05,50.03,13.75,2.312
Wheat,61.51,9.28,45.43,12.24,2.068
Barley,71.58,6.88,37.38,18.27,3.021
Wheat,97.21,11.58,37.38,16.3,2.411
Wheat,43.47,10.35,37.79,18.52,1.938
Cotton,162.53,14.95,42.42,32.45,1.116
Barley,56.09,7.01,30.64,12.77,2.996
Barley,52.13,5.23,33.08,21.81,1.622
Rice,229.9,21.34,82.69,20.75,2.758
Wheat,98.62,7.02,35.48,20.91,2.714
Soybean,81.21,12.17,62.28,29.41,1.734
Barley,37.01,6.65,30.82,13.88,2.472
Sugarcane,167.59,16.99,68.58,24.9,58.467
Maize,136.95,15.52,55.59,22.11,5.865
Wheat,59.31,10.61,40.66,19.69,2.334
Soybean,173.11,15.85,69.19,19.37,2.593
Wheat,43.89,6.04,40.31,19.29,2.286
Wheat,50.76,9.44,41.93,22.9,2.057
Soybean,144.83,11.3,51.57,20.25,1.843
Sugarcane,216.68,16.48,70.14,30.15,54.626
Sugarcane,188.83,15.23,78.43,30.4,62.99
Sugarcane,220.87,14.03,83.12,23.35,43.615
Barley,79.4,8.96,53.77,18.22,1.777
Wheat,65.85,11.6,55.69,19.76,3.432
Barley,38.06,9.01,51.57,10.28,2.341
Soybean,170.81,12.99,68.61,19.82,1.781
Barley,60.76,10.78,43.47,12.03,1.858
Rice,220.4,20.97,83.34,29.23,2.503
Barley,71.19,10.68,40.37,12.58,2.737
Sugarcane,265.27,18.89,84.47,32.56,48.66
Barley,74.56,10.83,39.34,17.54,1.604
Rice,217.35,20.17,74.71,25.38,3.398
Maize,104.45,15.03,48.63,24.07,3.539
Barley,83.93,7.84,41.17,8.1,2.497
Sugarcane,231.72,14.99,68.78,25.18,54.225
Rice,249.99,18.89,81.06,20.78,4.563
Barley,102.14736571902306,5.17,36.12,20.34,1.814
Cotton,243.61448552094762,17.37,51.43,31.81,1.367
Rice,153.29,16.75,75.34,25.91,3.179
Rice,212.87,16.31,84.19,25.0,5.377
Maize,137.44,13.27,50.1,21.5,5.37
Cotton,114.99,15.27,63.24,26.63,2.526
Rice,289.76,18.28,84.39,31.57,2.284
Rice,173.89,18.91,65.69,26.07,5.152
Soybean,194.96,14.02,52.07,25.44,1.849
Barley,56.15,5.57,54.4,12.01,2.299
Barley,91.61,7.05,49.24,15.86,3.146
Sugarcane,103.45,18.63,64.27,22.53,53.725
Barley,62.88,8.91,48.18,8.01,2.74
Rice,161.22,18.09,67.77,29.7,3.898
Soybean,133.05,13.0,63.05,25.03,1.919
Barley,97.49,8.6,50.19,9.53,1.914
Sugarcane,116.17,17.54,74.98,27.03,57.063
Barley,49.79,6.68,33.19,16.95,1.585
Sugarcane,158.17,15.91,71.21,29.51,54.826
Maize,142.74,10.41,53.37,21.76,5.007
Rice,283.01,19.4,83.46,30.54,3.269
Wheat,61.55,11.48,58.82,14.57,2.551
Cotton,163.72,14.84,64.05,24.23,1.969
Barley,43.39,7.58,36.87,20.43,1.369
Sugarcane,261.11,16.36,84.04,26.99,61.695
Cotton,157.27,17.92,39.51,29.13,1.43
Sugarcane,105.4,16.38,74.28,33.44,42.295
Rice,219.64,17.87,81.93,27.27,4.439
Barley,42.56,8.22,40.93,11.75,1.994
Cotton,76.13,12.38,64.7,25.87,1.872
Barley,86.53,8.77,33.82,17.94,2.495
Maize,119.18,11.5,53.58,28.22,4.562
Barley,47.66,9.9,50.06,14.81,2.239
Soybean,101.4,12.44,60.45,21.01,2.176
Barley,62.34,7.89,39.41,13.08,1.651
Barley,78.05,5.95,47.2,9.79,2.208
Rice,165.06,17.32,79.96,28.83,4.874
Wheat,77.19,10.06,45.71,20.24,3.498
Barley,76.99,5.9,53.32,13.36,3.061
Maize,112.45,11.36,49.15,21.99,6.19
Maize,119.47,12.5,66.94,20.45,5.938
Barley,63.8,8.71,49.25,9.46,2.984
Barley,49.93,6.2,30.94,17.01,1.908
Wheat,78.42,7.73,42.67,14.94,3.455
Sugarcane,124.11,19.66,80.11,24.17,52.857
Soybean,168.75,11.52,66.73,22.92,2.585
Sugarcane,190.55,17.51,83.0,22.59,64.217
Rice,237.82,16.03,65.19,22.63,2.691
Maize,106.24,14.04,62.05,21.78,3.411
Wheat,58.97,7.21,42.85,13.38,2.108
Sugarcane,173.93,18.32,72.79,33.32,42.006
Sugarcane,144.74,15.82,79.27,25.93,55.79
Wheat,97.57,6.34,45.47,16.42,3.055
Maize,90.22,12.4,55.24,29.74,2.835
Maize,81.97,10.95,68.73,28.56,5.517
Sugarcane,278.77,14.64,65.83,33.4,58.613
Barley,53.02,10.98,48.77,17.03,2.263
Rice,196.61,16.48,67.14,30.73,2.588
Rice,309.26,16.31,75.47,23.12,3.719
Barley,67.07,5.24,54.61,13.37,2.146
Rice,312.85,19.18,71.05,26.01,4.191
Wheat,43.52,6.21,48.78,16.13,2.776
Maize,120.94,15.27,58.95,29.52,2.806
Soybean,182.79,13.38,54.98,23.1,2.302
Soybean,173.78,15.22,70.86,18.67,2.856
Rice,237.1,16.63,74.61,25.85,5.56
Sugarcane,169.56,15.98,74.88,32.47,43.732
Cotton,122.44,16.63,50.6,32.23,1.879
Sugarcane,124.26,16.98,64.23,23.51,72.646
Rice,294.74,17.25,88.26,21.4,4.246
Rice,200.41,18.1,84.37,27.94,3.408
Sugarcane,205.63,19.0,61.81,30.29,68.449
Rice,251.83,16.69,67.35,30.92,4.494
Maize,129.68,13.57,55.38,23.07,6.11
Barley,58.07,6.92,54.1,16.98,1.4
Barley,45.06,6.1,39.13,14.05,2.427
Wheat,92.8,11.51,58.77,18.08,2.237
Sugarcane,119.33,14.87,60.84,27.64,73.015
Rice,162.49,17.02,77.99,24.04,4.381
Cotton,171.54,16.98,63.95,23.49,1.481
Wheat,53.34,7.11,43.55,16.02,3.517
Wheat,54.63,6.51,46.67,16.75,3.355
Cotton,66.94,17.81,61.51,33.13,1.771
Maize,100.27,15.52,45.3,24.63,5.605
Wheat,47.07,7.0,38.68,23.62,2.456
Sugarcane,237.11,14.35,84.96,31.03,73.076
Sugarcane,128.54,18.88,63.32,24.8,55.066
Cotton,156.44,13.12,61.78,28.47,2.066
Soybean,144.7,16.81,62.11,18.76,2.564
Rice,238.13,16.9,83.44,26.15,5.528
Soybean,185.75,13.1,52.08,26.69,1.93
Wheat,83.14,9.34,45.39,16.01,3.235
Barley,38.2,5.19,43.85,18.67,1.795
Cotton,167.65,17.32,58.4,29.7,0.959
Wheat,40.05,11.22,54.81,18.78,2.746
Cotton,164.61,13.32,64.28,26.04,1.197
Soybean,178.85,16.14,60.38,19.07,1.952
Soybean,108.83,13.82,61.39,24.99,2.372
Sugarcane,249.99,16.73,77.99,23.29,70.363
Sugarcane,149.5,14.48,70.74,28.65,63.378
Wheat,50.98,10.96,36.05,15.87,1.932
Sugarcane,148.72,14.18,75.13,26.75,62.228
Barley,67.26,8.27,34.21,18.65,3.389
Wheat,68.54,6.97,51.41,23.6,2.552
Cotton,72.3,17.62,55.64,22.81,1.09
Wheat,45.96,8.31,36.78,12.95,1.557
Soybean,124.68,12.53,62.22,22.89,3.633
Soybean,93.5,15.42,56.88,25.67,2.152
Maize,84.57,13.95,69.94,23.42,3.86
Rice,256.21,16.43,82.07,22.9,4.417
Soybean,82.36,16.28,74.14,22.1,1.96
Cotton,163.77,16.88,64.99,33.96,1.383
Maize,92.13,12.15,69.74,26.21,5.894
Cotton,66.2,15.19,51.22,29.65,1.736
Barley,41.29,7.86,54.79,18.79,1.413
Cotton,66.17,14.98,52.91,26.01,1.583
Soybean,95.9,14.28,63.66,19.07,2.104
Barley,96.36,7.38,47.35,14.85,2.136
Wheat,64.33,6.3,36.32,19.69,2.716
Soybean,180.42,14.43,74.98,21.44,2.002
Maize,150.45,12.01,60.38,29.12,4.85
Barley,42.39,7.47,46.2,17.97,1.658
Sugarcane,106.08,17.56,64.67,26.15,43.263
Wheat,93.5,9.74,54.06,10.55,3.128
Cotton,119.51,12.49,41.61,30.2,1.149
Rice,259.9,21.85,86.18,20.28,4.982
Barley,50.97,5.66,49.86,9.39,1.669
Soybean,178.87,14.89,74.22,26.57,3.407
Barley,61.58,8.97,41.62,16.83,2.437
Maize,125.02,12.23,64.3,20.05,3.975
Rice,211.52,18.83,66.14,21.68,3.177
Barley,35.08,5.72,43.36,17.45,1.849
Barley,62.68,10.91,43.85,21.03,1.47
Rice,188.62,21.02,71.98,27.71,3.992
Soybean,110.38,14.33,63.19,25.87,2.215
Barley,70.6,8.84,36.49,9.19,1.82
Wheat,79.63,7.88,51.36,13.25,5.894239792205193
Soybean,146.07,15.96,57.59,22.78,2.589
Sugarcane,183.24,19.65,72.16,27.55,83.902
Wheat,87.31,9.95,36.75,15.53,1.897
Sugarcane,134.28,16.65,61.79,26.68,70.176
Sugarcane,168.39,16.69,84.52,26.2,60.886
Rice,253.76,20.3,71.82,24.96,3.262
Maize,78.7,14.32,52.05,20.21,2.539
Soybean,182.1,12.72,66.01,21.77,3.202
Sugarcane,129.28,19.13,77.17,28.24,76.732
Soybean,94.1,12.51,73.02,24.98,2.269
Soybean,97.27,11.05,50.5,25.04,2.347
Wheat,104.28,6.61,47.65,13.09,1.407
Rice,162.85,18.19,70.63,22.35,2.476
Sugarcane,173.29,16.46,73.6,28.52,67.755
Sugarcane,252.72,14.12,75.11,25.32,63.024
Rice,234.7,16.46,66.46,24.01,5.722
Rice,171.34,16.1,84.25,29.69,2.69
Barley,42.64,10.94,35.24,8.16,2.611
Rice,295.17,18.63,86.17,30.72,2.291
Rice,261.75,18.83,87.0,22.59,4.679
Rice,253.34,17.86,85.59,31.46,4.75
Cotton,162.66,16.22,49.23,23.17,1.241
Maize,93.19,12.7,62.32,26.8,6.045
Wheat,75.74,9.69,57.77,17.14,3.068
Wheat,86.33,10.51,53.85,18.09,3.929
Rice,292.77,18.3,79.3,27.05,2.748
Soybean,193.91,12.83,54.22,23.53,2.044
Wheat,84.55,7.95,41.74,12.67,3.016
Cotton,111.05,15.05,42.27,23.38,1.65
Wheat,83.17,10.46,53.45,17.3,2.056
Maize,94.19,11.19,51.17,21.68,4.228
Cotton,123.91,13.45,43.08,26.53,1.079
Soybean,95.71,12.41,73.31,28.31,2.801
Sugarcane,253.97,14.19,61.9,25.29,44.738
Sugarcane,191.03,18.9,81.53,29.39,52.463
Rice,214.71,21.27,86.7,29.67,4.786
Maize,135.78,12.52,59.46,27.99,5.562
Rice,180.16,19.27,89.62,31.25,2.252
Soybean,130.72,15.31,61.07,26.79,2.216
Wheat,43.82,11.84,40.65,14.26,1.606
Soybean,94.8,13.41,58.77,27.27,2.624
Maize,115.53,14.67,66.46,28.14,4.094
Soybean,175.69,15.32,52.15,23.57,2.047
Rice,293.75,20.15,75.75,28.08,3.386
Rice,157.08,16.51,82.91,20.87,2.014
Sugarcane,245.93,14.27,67.41,25.36,44.619
Maize,91.7,11.4,46.7,20.25,4.155
Cotton,120.71,15.67,35.54,32.47,2.491
Rice,220.0,19.91,78.64,20.75,4.37
Rice,307.77,17.35,74.3,25.18,3.686
Wheat,107.89,9.43,38.58,15.24,2.831
Soybean,182.71,13.61,54.82,20.29,2.834
Wheat,90.59,9.94,52.72,10.12,1.795
Rice,158.18,21.42,86.31,28.01,3.579
Barley,43.86,6.18,31.38,10.77,1.15
Cotton,178.53,14.57,46.53,30.16,1.071
Soybean,155.13,11.45,52.81,18.59,1.925
Soybean,116.2,13.3,71.36,26.99,2.34
Barley,64.03,6.52,50.63,14.79,3.064
Soybean,194.93,11.47,63.31,21.64,2.106
Barley,76.48,6.73,35.9,18.23,1.526
Cotton,147.79,12.49,36.81,24.97,1.3
Soybean,140.61,16.93,61.63,18.7,2.17
Maize,119.93,10.46,45.1,26.05,5.165
Cotton,155.99,13.07,54.58,24.86,1.094
Barley,43.37,10.69,41.88,12.44,2.352
Soybean,192.95,16.29,62.88,27.3,2.38
Soybean,107.69,12.75,69.31,18.91,3.162
Barley,81.56,9.02,41.92,16.99,1.687
Sugarcane,177.94,14.43,72.2,30.43,67.112
Soybean,126.21,16.66,65.26,28.02,2.843
Wheat,81.95,7.08,52.63,16.37,3.246
Cotton,111.64,13.2,49.75,22.77,1.617
Barley,56.81,10.86,51.84,12.61,2.52
Barley,41.18,6.2,40.34,10.89,2.135
Maize,129.61,14.51,65.3,29.35,3.723
Maize,153.59,12.58,47.98,24.15,3.748
Wheat,86.98,9.72,53.56,12.38,1.988
Cotton,76.91,16.81,37.24,33.84,1.659
Cotton,90.95,12.84,60.05,33.81,1.53
Maize,74.93,11.23,55.47,20.64,2.538
Rice,228.11,20.71,87.3,31.46,5.111
Rice,274.58,19.25,79.76,26.1,4.031
Wheat,65.23,10.03,41.77,11.14,3.286
Rice,277.17,20.87,81.41,21.54,3.594
Maize,120.09,12.06,48.36,19.13,5.123
Sugarcane,230.57,15.26,82.12,29.39,58.42
Cotton,107.88,12.33,45.06,31.63,1.034
Rice,246.11,18.78,89.3,27.3,4.181
Maize,97.87,11.21,67.72,27.12,4.836
Sugarcane,129.77,19.87,62.7,33.18,71.956
Wheat,44.63,6.11,55.67,17.35,2.932
Wheat,97.53,9.96,54.91,13.81,2.877
Soybean,146.32,11.69,53.15,24.35,2.512
Sugarcane,230.6,15.38,60.02,30.58,49.871
Wheat,63.24,8.79,35.34,11.14,1.999
Cotton,103.32,12.55,62.52,23.64,2.011
Wheat,64.08,10.4,51.47,23.04,3.483
Soybean,98.41,13.2,59.33,19.82,2.528
Barley,48.45,7.15,33.73,15.14,2.252
Cotton,87.59,13.28,35.93,29.82,1.415
Barley,48.62,7.73,52.71,9.46,2.238
Wheat,42.18,7.56,35.84,22.31,1.6
Rice,210.83,19.89,68.07,30.66,4.323
Cotton,135.35,12.49,61.21,33.05,1.077
Wheat,96.59,10.94,44.62,16.43,2.103
Cotton,72.79,12.45,56.85,27.95,1.679
Rice,263.29,21.8,84.03,31.41,4.019
Maize,115.0,14.38,60.48,20.24,3.101
Wheat,98.3,11.44,35.3,19.44,1.833
Barley,45.23,5.19,53.67,11.37,1.905
Maize,138.99,14.21,53.28,26.11,4.071
Soybean,169.2,15.34,53.4,28.03,1.663
Wheat,40.85,6.05,43.93,22.97,1.804
Cotton,138.63,15.31,37.61,26.9,1.656
Rice,225.49,19.76,77.22,24.82,6.309
Sugarcane,256.05,18.48,81.44,27.94,47.679
Maize,79.72,12.87,59.64,24.5,3.296
Sugarcane,181.05,15.2,67.69,22.51,68.6
Wheat,59.27,10.26,41.79,22.66,2.075
Wheat,70.37,6.99,37.91,17.65,3.644
Barley,98.25,6.16,38.65,13.01,1.386
Soybean,133.76,13.43,74.6,21.51,2.539
Barley,58.87,10.48,39.21,13.23,2.034
Maize,102.63,14.94,50.1,23.63,6.056
Sugarcane,101.46,14.06,71.51,27.86,46.869
Rice,198.6,20.9,86.53,30.16,5.216
Wheat,91.91,8.96,47.08,21.74,2.161
Soybean,91.71,12.0,73.09,27.86,2.054
